SMILES,inchi_key,rf_logSolubility
CCC(C)OC(=O)OCOC(O)O,BGNHCXMQIHRRBZ-UHFFFAOYSA-N,-1.0436799999999997
COCOC(O)CS,BHNIRNBJMWLYRN-UHFFFAOYSA-N,-0.6191400000000001
CCN(OC)C(O)OC(=O)OC,BHRRLSZLFVMODJ-UHFFFAOYSA-N,-1.0690899999999999
CCCOC(=O)OOCC(=O)OOC,BIGJIQANIGACRL-UHFFFAOYSA-N,-1.2590699999999995
CCOOC(=O)OCC(O)OCC,BILCMYHHYOGTMH-UHFFFAOYSA-N,-1.07856
CCCCC(=O)OCOC(O)Cl,BKZNHEPJXNZOPJ-UHFFFAOYSA-N,-1.34251
CN(COOC(=O)OCO)OC(=O)OCO,BNJNZMVXZRFSSJ-UHFFFAOYSA-N,-1.0108700000000002
CCOC(=O)OCC(O)CCCC(=O)OCO,BNZLGFTULQOYPJ-UHFFFAOYSA-N,-1.4713499999999993
CCOC(O)OCC(=O)OO,BRBKVYYPGAKFRE-UHFFFAOYSA-N,-1.07456
CCOCC(O)OCC(=O)O,BSEVVVHBIRQTOG-UHFFFAOYSA-N,-0.8125699999999999
CCOCC(C)OC(=O)OOCCC(=O)OCO,BUBDGIKNSWZTDH-UHFFFAOYSA-N,-1.7382299999999984
C=CC(C)CC(=O)OCC(=O)OOO,BUMKFDQNJGTOSR-UHFFFAOYSA-N,-1.5748600000000001
CCC(O)OCC(=O)OOCC(O)CC=O,BUUIYZLUUKAWFN-UHFFFAOYSA-N,-1.09863
NCCCOC(=O)OO,BVBVPKMDNBTANH-UHFFFAOYSA-N,-0.7946588888888887
CCOOC(=O)OOC(=O)OO,BVOGNDDLXPQEHX-UHFFFAOYSA-N,-0.71256
CCOC(=O)OCOC(=O)OOO,BVYAFEGATQKGJN-UHFFFAOYSA-N,-0.9039000000000003
COC(=O)OCC(O)OC(=O)OO,BVYIWWDNSMGXBR-UHFFFAOYSA-N,-0.8414028571428572
NC(=O)OOC(=O)OC(=O)OO,BWQNEYAITLOMAL-UHFFFAOYSA-N,-1.4110548974358974
CCOCC(O)CCC(S)OC(=O)OOOC,BWVRTSJCHSXSTC-UHFFFAOYSA-N,-2.261850000000001
COOC(=O)OC(C)OOC(=O)OCC(=O)OC,CAOKONKHERUHFD-UHFFFAOYSA-N,-1.1090100000000003
CC[SH](O)OCC(O)CC(=O)OCO,CDIJIQQRYVCTHM-UHFFFAOYSA-N,-0.78348
COO[PH](=O)CON(C)CCl,CEMXDVFSAFRZGB-UHFFFAOYSA-N,-0.6650400000000006
CCCCC(=O)OOCl,CFKOEYSUWYNRLG-UHFFFAOYSA-N,-1.27836
COc1cc(O)nc(C)n1,CHASCQSJHSQWNQ-UHFFFAOYSA-N,-1.1170699999999996
CCC(O)OCC(=O)OO,CLDBAYGIQMCXDI-UHFFFAOYSA-N,-0.8672699999999998
CCOC(=O)OOCOC,CLPLABMBCMHUDC-UHFFFAOYSA-N,-0.9664499999999999
NC(=O)OOOC(=O)OCOC(=O)OOCO,CMBZORCYVKGDRI-UHFFFAOYSA-N,-0.6387699999999998
CN(S)OC(=O)OOC(O)CCN,CMHIANVEWQSWCQ-UHFFFAOYSA-N,-1.0979299999999999
O=C(OO)OCCCO,COCTZMWZRIWQIS-UHFFFAOYSA-N,-0.6042599999999997
O=C(COC(O)CCCO)OOCO,CRPDPHWJCVBRDC-UHFFFAOYSA-N,-0.9288300000000003
CCOC(O)OC(O)C(=O)OCO,CRXMUFGZULCQJQ-UHFFFAOYSA-N,-1.1133199999999999
COOC(=O)OCOC(=O)Cl,CTLYPYXLZDAZRE-UHFFFAOYSA-N,-0.8564100000000002
CCOC(=O)OCC[SH](C)CO,CTZFEDSGFBWZMT-UHFFFAOYSA-N,-1.25115
O=CC(O)OCC(=O)OO,CUCOWEFYFZEFHL-UHFFFAOYSA-N,-0.6177999999999999
CC(O)NOC(=O)OCCC(=O)OOO,CWPVLHQJOPZSJT-UHFFFAOYSA-N,-1.1196200000000003
CC(C)COC(=O)OCO,CWSSEBJDYUKDJD-UHFFFAOYSA-N,-1.1749099999999997
O=C(OCO)OCC(O)CCCO,CXKLUVCKBDCLPC-UHFFFAOYSA-N,-0.6775399999999998
COOC(=O)OOCCO,CYDDHFQODKCEBJ-UHFFFAOYSA-N,-0.4896199999999999
CCCOC(=O)OCC,CYEDOLFRAIXARV-UHFFFAOYSA-N,-1.0920899999999996
CCC(=O)OO,CZPZWMPYEINMCF-UHFFFAOYSA-N,-0.013346401376401423
COCC(O)CN(C)CC(=O)OOO,DACYJDITVXVCPE-UHFFFAOYSA-N,-1.2612199999999998
CCOC(O)OCOC(=O)OCO,DANYCNRQTOHAKE-UHFFFAOYSA-N,-0.8661766666666666
NOC(=O)OOC(O)OCOC(=O)OCO,DBHPMEXUPSWMOV-UHFFFAOYSA-N,-1.0694700000000001
CCCCC(=O)OOO,DBSYAAMZLASUKN-UHFFFAOYSA-N,-1.19949
CCOC(O)CC(O)OC,DFEVHWBAUNJEKQ-UHFFFAOYSA-N,-0.32211999999999996
COOC(=O)ON(C)COC(O)CO,DIFPVDSSDDGKMN-UHFFFAOYSA-N,-1.0087700000000002
O=C(CC(O)CCCCO)OCO,DMCBBBRJEYTEKH-UHFFFAOYSA-N,-1.1879700000000002
CCCN(O)CC(O)CN(C)CS(=O)OCO,DOAMDCWORKKZMT-UHFFFAOYSA-N,-1.4870299999999992
CCOCC(O)NCC(O)OCO,DPLPBLQOFQSAEW-UHFFFAOYSA-N,-0.8822199999999997
O=C(OCCO)OOCC(O)CO,DQDBMTXTGMBHTF-UHFFFAOYSA-N,-0.7624799999999995
CCCCSC(=O)OCO,DQEVQQQKTLPRCG-UHFFFAOYSA-N,-1.5412644385964906
NCCOC(=O)OCC(=O)OCC(=O)O,DRMLRVNZXGKLSH-UHFFFAOYSA-N,-1.4805699999999995
O=C(OO)OCC(O)=CCl,DUOWCXNWXIYMLU-UHFFFAOYSA-N,-0.6765899999999998
CCCOC(=O)OOCOC(=O)OO,DUSDAKJDENWMSO-UHFFFAOYSA-N,-1.0238399999999996
CC(=O)OOOOC(O)OCC(=O)OO,DVQHFQSFRMWPNH-UHFFFAOYSA-N,-0.9383900000000002
CCOCC(=O)OCOC(=O)OOCOC(O)OCO,DWERNVGSEOIDOE-UHFFFAOYSA-N,-1.3783800000000002
O=C(O)OCCC(=O)OCCOC(=O)OO,DWGOFGIGIYYRMT-UHFFFAOYSA-N,-1.1392199999999995
CCCCC(O)OCOC(=O)OOC,DZOKYNHXCSTALT-UHFFFAOYSA-N,-1.0157599999999998
O=C(COC(O)CO)OCOC(=O)OO,FEXVHKIOTUVEKU-UHFFFAOYSA-N,-1.0601600000000002
O=C(COC(O)CCCS)OO,FFGYZTOWRAOKQK-UHFFFAOYSA-N,-0.8206500000000001
COC(=O)OCOO[PH](=O)OC,FFJVAEKKLCVDTE-UHFFFAOYSA-N,-0.6940100000000001
CCOC(=O)OOCC(O)C(O)CCC(O)NC(=O)OO,FGCSFBNNOMZOFT-UHFFFAOYSA-N,-2.0855700000000006
CCSCN(C)COC(=O)OC,FHQQYEXKICTOET-UHFFFAOYSA-N,-1.5097554285714283
COC(=O)OOCO,FIHXEDITHDZIOD-UHFFFAOYSA-N,-0.49003222222222215
CCCCCC(O)OCOC(=O)OO,FJIMUYQXRYNSKU-UHFFFAOYSA-N,-1.1671500000000001
COOC(=O)ON(C)CCl,FKLASYFYOKMVQG-UHFFFAOYSA-N,-0.8964099999999999
CCOO[PH](=S)OCCOC(=O)NN,FKNRZQRSPKPNLM-UHFFFAOYSA-N,-0.9152999999999999
Cc1cc(O)cc(Cl)c1N,FLEPGUUHMXHJDV-UHFFFAOYSA-N,-1.2986600000000001
CCOC(=O)OOC(=O)OOC,FLJXPARUGYUQKU-UHFFFAOYSA-N,-0.8232899999999997
COOOOC(=O)CCOC(O)COCO,FNNBMFLFRLTQKG-UHFFFAOYSA-N,-1.1035800000000004
CCC(O)OCCC(=O)O,FNVPWZSATLZHAV-UHFFFAOYSA-N,-0.6057799999999997
CCC(=O)OCOC(=O)OOC,FOOGNVPXYIKQIZ-UHFFFAOYSA-N,-1.0832300000000001
CCC(=O)OCCOC(=O)OOC,FOSJBFNSESSDRL-UHFFFAOYSA-N,-1.1615799999999994
CCC(S)OC(=O)OCO,FRCJDLCNQOHXPR-UHFFFAOYSA-N,-1.05219
COC(=O)OCCBr,FSCXLPNTHNMOMS-UHFFFAOYSA-N,-0.9504899999999996
COC(O)OCOC(=O)OOOCO,FSQRWNGXETUBDX-UHFFFAOYSA-N,-0.7527233333333332
CC(=O)OCCN(C)C(=O)SCO,FTOKYDKVGJVMTG-UHFFFAOYSA-N,-1.27364
CC([O-])CC([N+])C(=O)OO,FWFACZHLLTUFTL-UHFFFAOYSA-N,-0.42981999999999987
CC[SH]=CC(=O)OCO,FXAOZDZYOXTIPB-UHFFFAOYSA-N,-1.0344766666666665
O=C(COC(=O)OC(O)CCl)OCO,FYMAZMBQGDWQTG-UHFFFAOYSA-N,-1.2833600000000005
COC(O)NOC(=O)OOC(C)OC(=O)OCO,FZAFAMDYTFAMIO-UHFFFAOYSA-N,-1.06304
CC(=O)OOCC(O)Cl,GANUTYLFHZWYET-UHFFFAOYSA-N,-0.7961699999999997
COCOC(=O)OCOC(=O)OCO,GBMNFVVGQDTFGS-UHFFFAOYSA-N,-0.830607333333333
COC(C)O,GEGLCBTXYBXOJA-UHFFFAOYSA-N,0.07523000000000003
O=CCl,GFAUNYMRSKVDJL-UHFFFAOYSA-N,0.03351716089466092
CCCCC(=O)OCCO,GFNKWCJODVREDZ-UHFFFAOYSA-N,-1.0748700000000004
Oc1ccc(O)c(O)c1,GGNQRNBDZQJCCN-UHFFFAOYSA-N,0.10772
CCOC(=O)OOCCOC(=O)OOC,GHLHUXRKPSJCGU-UHFFFAOYSA-N,-1.6768899999999993
CCC(O)OOCC(C)OOC(=O)OCO,GHNIFHIOFYYOMJ-UHFFFAOYSA-N,-1.26567
CCOC(=O)OCOC(=O)OOC,GIBIOXPBWGZFLL-UHFFFAOYSA-N,-0.82514
O=C(NC(Cl)OC(O)NO)OO,GIPDSFQQTPBLRG-UHFFFAOYSA-N,-0.6302333333333331
CC[SH](C)CCOC(=O)OO,GJUAXPZBPQRKEV-UHFFFAOYSA-N,-1.4105222222222227
CCOC(O)OCC(=O)OOCOC(=O)OO,GKCHYKNTKHIPGR-UHFFFAOYSA-N,-1.1039699999999995
CCOOC(=O)ONC(=O)OOCOOC(=O)OO,GKTMVVFSSZDHIH-UHFFFAOYSA-N,-0.82006
O=C(OCC(O)CCO)OOOCO,GLFGQTVGEWERMO-UHFFFAOYSA-N,-0.63981
CCC(C)CCC(=O)OCO,GMJHOYRZBRRPLX-UHFFFAOYSA-N,-1.9047699999999994
CCOC(=O)OC(O)Cl,GNDJPDPYBDPLJZ-UHFFFAOYSA-N,-0.7019428571428569
O=C(CCOC(=O)OCCl)OO,GOOFIWPDIQUXER-UHFFFAOYSA-N,-0.9900399999999998
CCOC(=O)OCC(O)OOC,GPMPOHQTPXUQTR-UHFFFAOYSA-N,-0.8229799999999998
CCCC(O)OCC[SH]=O,GQIZIWNFURFZOB-UHFFFAOYSA-N,-0.7706700000000005
O=C(OO)OCCOC(O)CO,GQSFPUPHTBLTKO-UHFFFAOYSA-N,-0.8271799999999998
CC(O)COC(=O)OOCCC(=O)OO,GQXNTFJXPGJVKM-UHFFFAOYSA-N,-0.8257699999999999
CN(C)CC=O,GRWPTSXPZYCYOM-UHFFFAOYSA-N,-0.374734126984127
COC(=O)OOCC(=O)OO,GTLDBIYMCOLNKY-UHFFFAOYSA-N,-0.6228315384615383
CCCC(F)OCOC(=O)OOO,GTYZXFTWXXZNHL-UHFFFAOYSA-N,-1.5010799999999997
O=C(Cl)OCO,GTZIERNZUYHOAL-UHFFFAOYSA-N,0.03655656565656568
CCOCSS(=O)OOCC(=O)OOOCC,GUNPXADOOWZGDZ-UHFFFAOYSA-N,-1.3585399999999992
CCC(O)CC(=O)OOC(=O)O,GUTXCMQGXVQLSY-UHFFFAOYSA-N,-1.0086599999999997
CCC(O)OCC(O)OCC(=O)OO,GVVFZBPVNRYHDW-UHFFFAOYSA-N,-0.81946
O=C(COC(O)OC(O)CBr)OO,GWEPBBRLZRCLNU-UHFFFAOYSA-N,-0.8743299999999999
NOCC(O)NC(=O)OOCC(O)O,GXGFHDROOYASTN-UHFFFAOYSA-N,-0.6684199999999996
CCC(O)OCC(=O)OOCO,GYYFTXLWFFYGFK-UHFFFAOYSA-N,-0.89016
O=C(CO)OCSNC(S)OC(=O)OO,HBTMITGJGSNOCF-UHFFFAOYSA-N,-1.2482999999999997
COCOC(=O)OC(=O)OCOC(=O)OOO,HCRWSOGCMCBONX-UHFFFAOYSA-N,-1.1757940000000004
COOC(=O)COOC(=O)OC[N+],HDPQEYHXZXAOAY-UHFFFAOYSA-N,-0.78748
COC(C)(C)OC,HEWZVZIVELJPQZ-UHFFFAOYSA-N,-0.32795538461538465
CCOC(C)OCS(=O)OCCO,HFMOASCSIVLNIA-UHFFFAOYSA-N,-1.07485
CCCOC(=O)OCCC(=O)OCC=C(O)CO,HGWAINLYNOCSKV-UHFFFAOYSA-N,-1.862339999999999
CCC(=O)OCC(=O)O,HJYGWLFMHCJRJG-UHFFFAOYSA-N,-0.9292149999999998
CCOOC(=O)OOCN(C)OC(=O)OOC,HMIAZOTVPAKINU-UHFFFAOYSA-N,-1.6809100000000003
CCC(O)OCOC(=O)OOO,HMLMHQXDUMZRDS-UHFFFAOYSA-N,-0.8873899999999999
CCOC(=O)OOCOC(=O)OOO,HNCJRZDACXMTIO-UHFFFAOYSA-N,-0.90902
CCCCOC(=O)OCOC(=O)OCO,HNZQFWNNVREUJB-UHFFFAOYSA-N,-1.3996200000000008
O=C(OCO)OCOC(O)CS,HOVPQZOUAPYZGW-UHFFFAOYSA-N,-0.8774
O=C(COC(=O)OC=CCl)OCN(O)Cl,HPEFNLHKOBXPDF-UHFFFAOYSA-N,-1.2333
CCC(=O)OOCO,HSCNFSYXMSADED-UHFFFAOYSA-N,-0.9118533333333335
O=COC(O)CC(O)COOC(=O)OC(O)O,HUROBTJVQXBXCM-UHFFFAOYSA-N,-0.8285699999999997
O=C(CO)OOOC(O)CO,HVBWKXYSIMKUBE-UHFFFAOYSA-N,-0.8349100000000004
O=C(OO)OCCO,HVRIMSKNGXKNBQ-UHFFFAOYSA-N,-0.37719000000000014
CCC(O)OC(C)OC(=O)OO,HVRYSPUVAWJSFS-UHFFFAOYSA-N,-0.8539200000000001
CCC(O)CC(=O)OOCOC,HVSGWBLOAAWLOP-UHFFFAOYSA-N,-1.1624700000000001
O=C(COC(=O)OC(O)CO)OO,HYWUFGXFZFSPJO-UHFFFAOYSA-N,-1.0992400000000004
Sc1nc(S)n(NC(Br)CCl)n1,IBKGTNGTGKSQII-UHFFFAOYSA-N,-1.5998166666666669
CCCOC(=O)OO,IBUDOENFVGHGFQ-UHFFFAOYSA-N,-0.9528055555555554
CCCSS(=O)O,ICTBBKVPEFAETB-UHFFFAOYSA-N,-1.121624178481649
CCCC(O)OCC=O,IDJJXEAHYMRRHB-UHFFFAOYSA-N,-0.5332000000000001
CCCC(O)CC(=O)OCCCC(=O)OC,IFORAZFXTVSXFX-UHFFFAOYSA-N,-2.5013900000000002
C=COCC(=O)OOC,IGIKCASHEGGANP-UHFFFAOYSA-N,-0.8441799999999998
CCCOC(=O)OCO,IGSRCCGIPMBCNG-UHFFFAOYSA-N,-1.06854
CCOC(=O)COCOC(=O)OCC,IIOIZZYZKXZIKH-UHFFFAOYSA-N,-1.2425999999999993
COCOC(=O)OCO,IJBGYWCTGGMBSF-UHFFFAOYSA-N,-0.6397023333333334
O=C(COC(O)OCOC(O)CO)OO,IJKOCRXRTGEUSN-UHFFFAOYSA-N,-0.93262
CCOC(=O)OOOOC(O)OC(=O)ONC(=O)OO,IJUHELPYSJOKHC-UHFFFAOYSA-N,-0.9256599999999999
CCC(O)COC(=O)OO,IKCMEEVFCCLROG-UHFFFAOYSA-N,-0.6895399999999998
CC(O)CCC(=O)OON=O,IKZAXNSSQUOYQX-UHFFFAOYSA-N,-0.7578899999999998
CCC(O)OCC(O)COCC=O,INLAXBBUEWTYBZ-UHFFFAOYSA-N,-0.6627200000000002
CCCOC(O)c1cccc(N)c1,INSFNAMAASJBGU-UHFFFAOYSA-N,-2.203149999999999
COOC(N)=O,INWMXWKHURZERP-UHFFFAOYSA-N,0.04935999999999999
CCN(C)OC(=O)OO,IPNMZQBOBGEBLK-UHFFFAOYSA-N,-0.5159099999999998
CCOC(=O)OOCC(=O)OCO,IQELSOFGEBNCJM-UHFFFAOYSA-N,-0.9980100000000004
CCC(O)OCC(=O)OOOCO,IQGFYSVUUWKGQW-UHFFFAOYSA-N,-0.9481999999999995
COC(=O)OC[N+](=O)OOOCl,IQZBTDFLIIUOHA-UHFFFAOYSA-N,-0.6170100000000001
CCOC(=O)OCC(O)OCC,IRRSBGHCCBGBEI-UHFFFAOYSA-N,-0.97878
COOC(=O)COC(C)C,ISYWHZUORFHZHE-UHFFFAOYSA-N,-1.0189099999999995
NC(=O)OCCC(=O)OCO,IYOZEPKSDXSGJN-UHFFFAOYSA-N,-0.8149200000000001
CCC(O)CC(O)OC=O,IZTGRUJYIJUPDQ-UHFFFAOYSA-N,-0.37261999999999995
CCOC(=O)OOC(O)OCCl,IZUXPTGFSHSZSI-UHFFFAOYSA-N,-0.9771050000000001
CCOC(=O)OCOC(=O)O,JALHJAVULQXUNO-UHFFFAOYSA-N,-0.7889000000000002
CCC(O)OCOC(O)CC(O)OCCC(=O)OC,JDTBHDGQIGXFOI-UHFFFAOYSA-N,-1.82158
CC(CN)OCc1nnc(S)nc1O,JFJQGGFBROTNAB-UHFFFAOYSA-N,-1.5401100000000008
CCC(=O)OCC(=O)OO,JFYXSXNPTKAJMQ-UHFFFAOYSA-N,-0.838555
CCO[PH](=O)OCOC(=O)OOC,JGNJGMRWKAPRBY-UHFFFAOYSA-N,-0.80144
O=C(COC(=O)OOOC(O)OC(O)OOCO)OO,JJFVPQNYHZVCIH-UHFFFAOYSA-N,-1.02726
COC(Br)OCOC(=O)OOCC(O)OCC(=O)OO,JJPJFJRIFDGDEH-UHFFFAOYSA-N,-1.2835999999999996
CCOC(O)OC(C)OOC(O)OCC(=O)OO,JLDVLUSWXOKFPY-UHFFFAOYSA-N,-1.1128200000000001
COOC(=O)OCOC(=O)OC(C)SC,JLYLRSCPGYEPFS-UHFFFAOYSA-N,-1.0245299999999995
CC(O)OCC(=O)OOOC(=O)OOC(O)OCC(=O)O,JNCUOLHTHXUUKS-UHFFFAOYSA-N,-1.3343000000000007
OCC(O)CCS,JOINKNQZIQKEKX-UHFFFAOYSA-N,-0.09919999999999994
O=C(O)OCOC(O)OCS(=O)OCC(=O)OCO,JPLJQZRNHJCJSM-UHFFFAOYSA-N,-1.3692299999999997
CCOCC(=O)OCCC(=O)OO,JPYCBYZABXINRD-UHFFFAOYSA-N,-1.48409
CCC(O)CCN(C)C(=O)OO,JQUUXJHFTYPXRA-UHFFFAOYSA-N,-1.0399500000000002
COCOC(O)OCCCC(=O)OO,JSZSPVYFMLUSBO-UHFFFAOYSA-N,-1.1424200000000004
CCS(=O)OCCOC(=O)OC,JUTHUGIQBUXUFR-UHFFFAOYSA-N,-1.1230799999999994
CC(=O)OOCC(=O)OO,JWLOCUVVXYDUFI-UHFFFAOYSA-N,-0.9386899999999998
COOC(=O)OCOC(O)CO,JYFRTDCDSFZSLR-UHFFFAOYSA-N,-0.7480099999999997
CCOC(=O)OCC(=O)OO,JYRHGMBKZCWEJA-UHFFFAOYSA-N,-1.21013
CC(=O)OCO,JYVNDCLJHKQUHE-UHFFFAOYSA-N,0.08689545454545457
COCC(O)CC(O)OCO,KAMZEIHGJYGCND-UHFFFAOYSA-N,-0.54447
COOC(=O)OC(C)C,KBWRTXPTDJNWDN-UHFFFAOYSA-N,-0.7915499999999998
CCOCCOC(=O)OOCO,KEFDNSVKJBSBKQ-UHFFFAOYSA-N,-1.15625
CCOC(O)CC(O)CC(=O)OC,KGRXAUMDZYQWHN-UHFFFAOYSA-N,-0.7953600000000002
CCC(O)NC(=O)OOOCO,KGUVILKWKZWSON-UHFFFAOYSA-N,-0.7638399999999997
OCC(O)CC(O)CS,KHAJEIXKDWRHMU-UHFFFAOYSA-N,-0.44369999999999993
CSC(=O)OCOC(=O)OO,KHJGOJORNPZQBU-UHFFFAOYSA-N,-0.9954899999999999
CCC(O)CCC(O)OCC(=O)OO,KHSGUSKKEFLUSJ-UHFFFAOYSA-N,-0.8960899999999999
CCCC(O)OC=O,KIZCCPGSHHAFRX-UHFFFAOYSA-N,-0.7510599999999998
CC[N+](=S)OOOCCOCC(O)OCOC(=O)O,KJBSBYRJZYZLNR-UHFFFAOYSA-O,-1.5873400000000004
CCOS(=O)OCC(=O)OCO,KKWUKXMMKNMZDT-UHFFFAOYSA-N,-1.26125
CSCC(C)OCCC(=O)OO,KOJGIWOYKXYANU-UHFFFAOYSA-N,-1.6722699999999995
COOS(=O)OCOC(C)=O,KOUWWTQKQKGNCC-UHFFFAOYSA-N,-0.7893300000000001
CCOC(=O)OCOC(=O)OO,KPESMRFLZFMCTN-UHFFFAOYSA-N,-0.7614800000000002
CCOC(O)OCOC(=O)OOCC(=O)OOC,KQXNKINOTDXGLT-UHFFFAOYSA-N,-1.03076
CCOC(=O)OOOC,KSBIANAHZPAYLS-UHFFFAOYSA-N,-0.6019599999999999
CCOC(=O)OOCOC(=O)OO,KTHADBWSFVSPOP-UHFFFAOYSA-N,-0.7296299999999997
O=COC(O)CCO,KTWGWNMHFZMNKV-UHFFFAOYSA-N,-0.3067999999999999
COC(O)OCC(=O)OCO,KVZMOIXBTSZFTE-UHFFFAOYSA-N,-1.2055300000000002
CON(C)CCOC(C)=O,KXOMDDRCOUUQDJ-UHFFFAOYSA-N,-1.0968700000000005
CCOC(=O)OCOC(=O)OOOO,KYRJSINFDRWKIH-UHFFFAOYSA-N,-0.8542700000000003
CC[SH](C)COC(=O)OOO,KYRZKVBPTIPLQB-UHFFFAOYSA-N,-1.483412650793651
CC(CCN)OCC(=O)OOO,LARCRHHPFMBLAF-UHFFFAOYSA-N,-1.2023199999999998
CCSC(=O)OOCOS(=O)OOCC(O)OCC(O)OO,LAXFHNGSIGPVJJ-UHFFFAOYSA-N,-0.9656200000000001
CC(C)OC(=O)OCN(CO)S(=O)ONC(=O)OCl,LBBQNEMENYXIMR-UHFFFAOYSA-N,-1.5968200000000008
CO[SH](O)COC(O)CO,LBSBKVNAFXBFRG-UHFFFAOYSA-N,-0.44824999999999987
O=C(CC(Cl)CC(Cl)CCl)OO,LBUNOANXDAXEGZ-UHFFFAOYSA-N,-2.4344200000000003
CCCOC(=O)OCOC(=O)OOO,LBXMQUKGCCGHQZ-UHFFFAOYSA-N,-1.24893
COOC(=O)OCOC(C)=O,LDMRGMUEYIVLRW-UHFFFAOYSA-N,-0.8145
CC(=O)OOCC(O)COC(=O)OO,LELPFACTPKQPPJ-UHFFFAOYSA-N,-0.9190899999999995
OCCOC(S)OC(O)OO,LIDOOGGTPWQVIZ-UHFFFAOYSA-N,-0.7160799999999999
CCOC(O)NC(=O)OOO,LJMJKDJBSFONGN-UHFFFAOYSA-N,-0.69621
CCOC(=O)OOC=O,LKBKYNQRZRMVRM-UHFFFAOYSA-N,-0.5784899999999997
CCOC(=O)OCNC(=O)OO,LLSDBFOVXNXCMO-UHFFFAOYSA-N,-0.7429517460317464
O=C(COC(O)OCO)OOO,LMGRJSGHFKKXTN-UHFFFAOYSA-N,-1.02527
CCOC(O)OCCC(=O)OO,LNOGFNPEDLGBQE-UHFFFAOYSA-N,-1.0216200000000002
COOOC(=O)OCCO,LQXOHUSJJWLKOM-UHFFFAOYSA-N,-0.52406
CCCC(C)OCC(O)COC(=O)ONC(=O)SC,LTBZOHSFZDDQMU-UHFFFAOYSA-N,-2.86352
COOC(=O)COC(O)OC(N)O,LTWUGXHRTOMVGL-UHFFFAOYSA-N,-0.9816300000000002
CCOC(O)OCC(=O)OOC,LUXPVJQLHXKJID-UHFFFAOYSA-N,-1.1281799999999997
CCCCOC(=O)OOO,LVPPLPMWQZXEEM-UHFFFAOYSA-N,-1.2666236507936508
COOOC(=O)CCOOC(C)O,LVXIYGWYBIAYSV-UHFFFAOYSA-N,-0.9828200000000007
O=C(COC(O)COOS(=O)CBr)OOO,LYXKOESYVMPEGY-UHFFFAOYSA-N,-0.9376399999999999
COOOC(=O)CCCC(C)C,MBEJNVYHQNYWST-UHFFFAOYSA-N,-2.0715329729729732
CNC(=O)OCC(C)=O,MELGNQSWXQQTLL-UHFFFAOYSA-N,-0.7866349999999999
CC=CC(C)COC(=O)OC,MFDFWCLOMJHWRT-UHFFFAOYSA-N,-1.6807540666666667
O=C(Br)OOCOC(O)O,MFFBWEFNPVLIAY-UHFFFAOYSA-N,-0.9727800000000001
CCOC(=O)OOCCl,MFVOBSWHKDOPNF-UHFFFAOYSA-N,-0.8371499999999998
