SMILES,lipo,inchi_key
CC(Nc1ncnc2ccccc12)c1ccccc1,3.4,WIPBFPCDERGUGD-UHFFFAOYSA-N
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,1.1,SGRYPYWGNKJSDL-UHFFFAOYSA-N
O=c1[nH]c2c(O)ccc(C(O)CNCCCOCCOCCc3cccc4ccccc34)c2s1,2.28,BYUSHVMTXZIAER-UHFFFAOYSA-N
COc1ccccc1Cn1c(C)nc2ccccc21,3.47,MFEDHMSIAWGIGY-UHFFFAOYSA-N
O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)nc1,3.0,CHDHWRIOEXFMNA-UHFFFAOYSA-N
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.17,QIVBCDIJIAJPQS-UHFFFAOYSA-N
O=C(O)CCCC1c2ccccc2CC1NC(=O)c1cc2cc(F)ccc2[nH]1,1.95,DLZZNQTXKPJOKN-UHFFFAOYSA-N
CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)O)c3)cnc2[nH]1,-0.99,QEODWPGJXCSBCR-UHFFFAOYSA-N
Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC(C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,2.0,BFODPUUHEITNCL-UHFFFAOYSA-N
c1ccc(Nc2cc(Nc3ccccc3)[nH]n2)cc1,3.8,LINHOSSSJLYLGM-UHFFFAOYSA-N
COCCNC(=O)c1cccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)c1,3.21,DZBKGGPSLAGHOV-UHFFFAOYSA-N
CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c1ccc(C)cc1,0.36,OZIJOODQXPEDBJ-UHFFFAOYSA-N
NC(=O)c1cc(F)cc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,2.14,JPHCSQTXZXZBMR-UHFFFAOYSA-N
N#Cc1c(-c2ccccc2)nc(SCCc2ccccc2)[nH]c1=O,1.71,UXUGSRGUYLQZBM-UHFFFAOYSA-N
O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,1.19,HGMITUYOCPPQLE-UHFFFAOYSA-N
Cc1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)s1,2.7,OFKPHZHFCFRCKG-UHFFFAOYSA-N
Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)cc3)ncc2F)n1C(C)C,2.77,OZOUTOVDXHHQIZ-UHFFFAOYSA-N
COc1cccc(-c2c[nH]c(-c3ccccc3)n2)c1,3.8,WEYUTGFDGHKVAY-UHFFFAOYSA-N
O=C(COc1ccccc1)c1ccccc1,2.87,KRSXGTAVHIDVPM-UHFFFAOYSA-N
COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,1.91,ISNQSRDOIQFDPT-UHFFFAOYSA-N
COC1CCC2(CC1)Cc1ccc(OCC(C)C)cc1C21N=C(C)C(N)=N1,3.4,BQDUISPSAOQZDJ-UHFFFAOYSA-N
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCC1,3.13,XGPAXWVNLWKLEF-UHFFFAOYSA-N
O=C1CCOc2cc(COc3ccccc3)ccc21,3.0,LOURISIOISPYCO-UHFFFAOYSA-N
Clc1cccc2cn[nH]c12,2.33,WIYOYUQVNPTVQG-UHFFFAOYSA-N
CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1,2.8,HREXSEDWNZLPCX-UHFFFAOYSA-N
COCCNCc1ccc(CCNCC(O)c2ccc(O)c3[nH]c(=O)sc23)cc1,-0.54,YZGKJDAFHUVRRH-UHFFFAOYSA-N
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16,KESMOWDPGATUGY-UHFFFAOYSA-N
CC(NC(=O)c1cccnc1Oc1ccccc1)c1ccccc1,2.91,VBVRORJVJBTVBX-UHFFFAOYSA-N
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,1.55,YVDKBJBYBPODBK-UHFFFAOYSA-N
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.2,ZZORFUFYDOWNEF-UHFFFAOYSA-N
Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1,1.43,FUEVUWZQRYWTIH-UHFFFAOYSA-N
CC(Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ncc(F)cn1,2.47,PFXXPRYKFJNBAN-UHFFFAOYSA-N
CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO,2.48,OAKYYFZNZIPXEQ-UHFFFAOYSA-N
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-0.45,GSDSWSVVBLHKDQ-UHFFFAOYSA-N
CC1(c2nc(N3CCOCC3)ncc2C(=O)NC2C3CC4CC2CC(O)(C4)C3)CC1,2.0,YKOIHNGPJULCAM-UHFFFAOYSA-N
COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3c(c2)c(=O)sn3C)c1,2.6,WSDBCZFGPGHNDE-UHFFFAOYSA-N
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,3.5,WUADCCWRTIWANL-UHFFFAOYSA-N
CNCCCC12CCC(c3ccccc31)c1ccccc12,0.89,QSLMDECMDJKHMQ-UHFFFAOYSA-N
Oc1cc(-c2ccccc2)nc2ccnn12,1.3,WTXZHEFXYVLIDI-UHFFFAOYSA-N
O=CN1CC=C(c2c(F)cc(N3CC(COc4ccon4)OC3=O)cc2F)CC1,2.01,PAKMUOFMBAPGIG-UHFFFAOYSA-N
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59,GXKBYITWIIEZIQ-UHFFFAOYSA-N
CC1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1,0.18,GMFBGMFMMAVODH-UHFFFAOYSA-N
COc1cc(Nc2nc(NC(C)c3ncc(F)cn3)ncc2Br)n[nH]1,2.6,WMZWKZSZFLNJAR-UHFFFAOYSA-N
Cc1nc(C)c(-c2ccc(C3CCC(CC(=O)O)CC3)c(F)c2)nc1C(N)=O,1.3,VWXCBIYKAIQGAT-UHFFFAOYSA-N
COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,2.1,UFFMLXIMOZMLNJ-UHFFFAOYSA-N
Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1,3.72,TUGBWRGTMLOFAX-UHFFFAOYSA-N
CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,1.72,DJFZOPTYMZKMLN-UHFFFAOYSA-N
COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,1.65,BLGXFZZNTVWLAY-UHFFFAOYSA-N
CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,3.7,QADPYRIHXKWUSV-UHFFFAOYSA-N
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,2.2,MTLMDZJUGDUTCP-UHFFFAOYSA-N
C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,2.04,DNVFTXQYIYFQBW-UHFFFAOYSA-N
CCSc1c(Cc2ccccc2C(F)(F)F)sc2c1c(=O)n(C)c(=O)n2CC(C)C,4.49,MIAXOMOVNFGVNO-UHFFFAOYSA-N
COc1ccc(Cc2c(N)n[nH]c2N)cc1,0.2,KPHPMNHOOYVICO-UHFFFAOYSA-N
CCN(CCN(C)C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1,2.0,YLBFKSSPFIKDLO-UHFFFAOYSA-N
Cc1cn(C2CCCN(S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C2)c(=O)[nH]c1=O,1.49,JSINAUYMOGMNAG-UHFFFAOYSA-N
c1ccc(N2CC3COc4ccccc4C3=N2)cc1,4.28,DATNOZAQAIEORG-UHFFFAOYSA-N
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-0.95,VMXUWOKSQNHOCA-UHFFFAOYSA-N
CC(C)CC(c1ccncc1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O,1.64,WQYYIHSCYVKVIN-UHFFFAOYSA-N
FC(F)c1nc2ccccc2[nH]1,2.02,PURNIHSRWGYONZ-UHFFFAOYSA-N
N#Cc1cccc(OCC(O)CNC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)c1,3.09,DPJWTHMHDTUYEX-UHFFFAOYSA-N
COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,2.18,ZJODRBGRKHPTDB-UHFFFAOYSA-N
O=C(Oc1ccccc1O)c1cccc2ccccc12,4.4,ZVYNZOQFCLCEBZ-UHFFFAOYSA-N
COc1ccccc1CNc1cc(C)ccn1,3.28,DQTYKRWNTJBXSF-UHFFFAOYSA-N
Nc1nc(Nc2cccc(Br)c2)c2nc[nH]c2n1,3.04,JPVDTQHICMAEST-UHFFFAOYSA-N
Nc1c2c(nc3ccc(Br)cc13)N(c1ccccc1)CC2,3.12,DNFFJORSUVCABG-UHFFFAOYSA-N
COc1cc(OC)c(S(=O)(=O)N(c2ccc(C)cc2)c2ccc(C)cc2)cc1NC(=O)CCC(=O)O,0.06,KSPFXCDJIGBEQP-UHFFFAOYSA-N
O=C(c1ccc(F)cc1)C(O)c1ccc(F)cc1,2.49,VGZHWXAFILGMSR-UHFFFAOYSA-N
CC(C)CC(N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1,1.11,OBQXZDOJHLJHCX-UHFFFAOYSA-N
Cc1ccc(NC(=O)c2cccc(OCC(C)C)c2)cc1C(=O)Nc1cccnc1,2.81,QHAUVGUPQQFAJT-UHFFFAOYSA-N
COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1,3.52,CZRGSUVBZMHYLX-UHFFFAOYSA-N
NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,2.5,ULDXWLCXEDXJGE-UHFFFAOYSA-N
CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,4.48,GAELJTQGYRTLNW-UHFFFAOYSA-N
O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1,1.33,RZIVGMQLIWOSLN-UHFFFAOYSA-N
O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,1.83,FOQNONLDPFMOKP-UHFFFAOYSA-N
COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3F)c2cc1OC,3.6,UMSGSJIQAZSBTJ-UHFFFAOYSA-N
CN(C(=O)C1CCC1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.2,HCQDGTHSLFFEBG-UHFFFAOYSA-N
N=C(N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N,-0.56,VKJRORJILYHOSA-UHFFFAOYSA-N
N#Cc1nc(NC2CC3CCC2C3)c(N)c(N2CCOCC2)n1,3.53,CAEDNKKZJRIJKC-UHFFFAOYSA-N
CCN(C(=O)NCc1c(F)cccc1F)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4.3,PAVCWKDOSVFPAN-UHFFFAOYSA-N
NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,2.88,XQPFDQVEBGYLHB-UHFFFAOYSA-N
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,3.08,QZUDBNBUXVUHMW-UHFFFAOYSA-N
Cc1ncc(-c2ccc(C3CCC(CC(=O)O)CC3)cc2)nc1C(N)=O,1.0,JEYLNWQDTLWEBW-UHFFFAOYSA-N
Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C,2.4,BQDUNOMMYOKHEP-UHFFFAOYSA-N
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1.89,RTHCYVBBDHJXIQ-UHFFFAOYSA-N
Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)cc4Cl)CC3)CC2)cc1,1.52,STXMJDYUJFBELE-UHFFFAOYSA-N
O=c1ccoc2cc(OCc3ccccc3)ccc12,3.33,YWVWZOJGNFBRHJ-UHFFFAOYSA-N
[O-][S+](c1ccccc1)c1ccc2nnnn2n1,0.79,JFSXSNSCPNFCDM-UHFFFAOYSA-N
O=[N+]([O-])c1ccc2c(c1)N(c1cccc[n+]1[O-])CC(C(F)F)(C(F)F)O2,3.2,LIKAVDUPUINJPY-UHFFFAOYSA-N
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.1,VHYCDWMUTMEGQY-UHFFFAOYSA-N
Cc1ncc(C(N)=O)nc1-c1ccc(C2CCC(C(=O)O)CC2)cc1,0.22,VTFSQAMIYVLXMY-UHFFFAOYSA-N
Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1,2.0,SWXIKLMDWGQGKU-UHFFFAOYSA-N
COc1cc(OC2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,4.0,RNGFVIWQFGXUID-UHFFFAOYSA-N
COc1ccc(-c2cc(=O)c3ccccc3[nH]2)cc1,2.71,YKUDSEKRLNZNTN-UHFFFAOYSA-N
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,0.7,BTVYFIMKUHNOBZ-UHFFFAOYSA-N
Cn1cc(C#N)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,3.67,CFJFLGFKZVSNPA-UHFFFAOYSA-N
Cn1sc(NC(=O)c2cccc(Cl)c2)nc1=O,0.87,QSVODSMJXQAITH-UHFFFAOYSA-N
Cc1ccc(-c2nccn2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,2.83,YLQZACBCJBUTDN-UHFFFAOYSA-N
CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,0.82,VAZAPHZUAVEOMC-UHFFFAOYSA-N
O=c1cc(N2CCOCC2)oc2cc(O)ccc12,1.0,ULTRFFGNTUDFJW-UHFFFAOYSA-N
Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,3.07,KLGQSVMIPOVQAX-UHFFFAOYSA-N
O=C(COCc1cscn1)N1CCN(c2ccc(Cl)cc2Cl)CC1,3.07,BIXHLDRPZYPCAH-UHFFFAOYSA-N
O=c1c2ccc(O)cc2ncn1-c1ccc(O)cc1,1.6,NECCEJFVHJYYDA-UHFFFAOYSA-N
O=c1[nH]c2c(O)ccc(C(O)CNCCc3ccccc3CNCCc3ccccc3F)c2s1,1.58,XXPNWYXHQVWMTB-UHFFFAOYSA-N
O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2c(=O)n(C(CO)CO)ccc12,2.62,POPXTQJORVQTRM-UHFFFAOYSA-N
COc1ccc(-c2c(F)ccc3c(N)c(C(=O)NC4CC4)nnc23)c(OC)n1,3.37,FGOCJZANGVRDDB-UHFFFAOYSA-N
Clc1ccccc1-c1cnn[nH]1,2.68,PINMMJBKQZJEDY-UHFFFAOYSA-N
NC(=O)c1ccc(Oc2cccc3cccnc23)c([N+](=O)[O-])c1,1.7,NTFJJPIFMVYTIW-UHFFFAOYSA-N
NC(=O)Nc1cc(-c2cccc(O)c2)sc1C(N)=O,2.21,GIDGPFNZBRRNRV-UHFFFAOYSA-N
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-0.37,JNMRHUJNCSQMMB-UHFFFAOYSA-N
COC(=O)c1nc2c(NC(C)CO)nc(SCc3cccc(F)c3F)nc2[nH]c1=O,2.49,GIORSQFHUSECME-UHFFFAOYSA-N
COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,3.11,JGFZPZGREYNUPH-UHFFFAOYSA-N
CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,0.74,DPSPPJIUMHPXMA-UHFFFAOYSA-N
Cc1nc(Cl)c(Cl)n1Cc1sc2c(c1C(=O)N1CCC(O)C1)c(=O)n(C)c(=O)n2CC(C)C,1.61,NEQSVLABUJREKW-UHFFFAOYSA-N
N#Cc1cnc(N2CCN(C(=O)C3CCCCC3C(=O)NC3(C#N)CC3)CC2)s1,1.2,OQOOOJVROUBAQY-UHFFFAOYSA-N
Cc1ccc(NC(=N)N)cc1C,-1.34,IQTNVAFSMUHIRD-UHFFFAOYSA-N
O=C(NCC1CCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,1.26,IMCCOPOXIDIESM-UHFFFAOYSA-N
O=C(Oc1ccccc1)N1CCOCC1,1.3,SVWBBVZRYSQHPF-UHFFFAOYSA-N
CC(C)(C#N)c1cnc(N2CCN(C(=O)C3CCCCC3C(=O)NC3(C#N)CC3)CC2)s1,1.9,GVFZKOCFOOBUQV-UHFFFAOYSA-N
FC(F)(F)c1nnc2ccc(N3CCCCC3)nn12,3.0,OIIAVBIQRXMPKJ-UHFFFAOYSA-N
Cc1c(Sc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,0.21,PNYMKZXVOIBSMP-UHFFFAOYSA-N
CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,1.55,LYAULIIFPDSAKW-UHFFFAOYSA-N
CC(Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N1CCOCC1,2.82,SMSWJYWJBIOKNH-UHFFFAOYSA-N
COc1ccc(Cn2cc3c(=O)n(C)c(=O)n(CC(C)C)c3c2)cc1,3.52,DTFISVVKXQHVKF-UHFFFAOYSA-N
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1cncn1,3.2,SXCPGBVLGDVEHO-UHFFFAOYSA-N
CCN1CCCC1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,1.09,WAOQONBSWFLFPE-UHFFFAOYSA-N
CC(=O)Nc1nc(C)c(-c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2)s1,0.55,IGQXOMRFMBZFBD-UHFFFAOYSA-N
Cc1ccc2c(c1)c(-c1ccnc3ccc(C(F)(F)F)cc13)c(C)n2CC(=O)O,1.78,ZCNGPVKGHKYTQX-UHFFFAOYSA-N
CSc1ncccc1C(=O)Nc1nccs1,1.43,WSHGOLKXFFKTHY-UHFFFAOYSA-N
CCOc1ncc(C)c2c1C(c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,2.51,BTBHLEZXCOBLCY-UHFFFAOYSA-N
Cc1nc2ccc(Cl)cn2c1-c1ccnc(N)n1,2.49,HLCLCIHQZZSHDC-UHFFFAOYSA-N
CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,2.31,WZHCOOQXZCIUNC-UHFFFAOYSA-N
CC(NC(=O)C1CCCCN1C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,3.34,DNLHCDOKNZPOJU-UHFFFAOYSA-N
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(CC(=O)N(C)C)CC2)c1,4.13,VPZCRWKFXSQLLK-UHFFFAOYSA-N
CNC(C)C(=O)NC(C(=O)NC1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C,3.12,AYWNCKNJOIZDHZ-UHFFFAOYSA-N
NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1,2.2,LODATPFQIYRJKC-UHFFFAOYSA-N
